,JOUEUR,SELECTIONS,POINTS
?refer=joueur&GET_CAT=1&PARAM=349,Fernand DESRUELLES,1,0
?refer=joueur&GET_CAT=1&PARAM=507,Claude DESSEAUX,12,50
?refer=joueur&GET_CAT=1&PARAM=429,Jacques DESSEMME,76,611
?refer=joueur&GET_CAT=1&PARAM=503,Michel DEVAUX,2,0
?refer=joueur&GET_CAT=1&PARAM=433,Louis DEVOTI,32,101
?refer=joueur&GET_CAT=1&PARAM=729,Mamoutou DIARRA,44,159
?refer=joueur&GET_CAT=1&PARAM=720,Boris DIAW,247,2090
?refer=joueur&GET_CAT=1&PARAM=737,Yakhouba DIAWARA,43,275
?refer=joueur&GET_CAT=1&PARAM=699,Alain DIGBEU,92,606
?refer=joueur&GET_CAT=1&PARAM=492,Alioune DIOP,4,3
?refer=joueur&GET_CAT=1&PARAM=754,Antoine DIOT,93,421
?refer=joueur&GET_CAT=1&PARAM=709,Makan DIOUMASSI,62,150
?refer=joueur&GET_CAT=1&PARAM=612,Didier DOBBELS,61,237
?refer=joueur&GET_CAT=1&PARAM=691,Frédéric DOMON,16,4
?refer=joueur&GET_CAT=1&PARAM=549,Laurent DORIGO,38,257
?refer=joueur&GET_CAT=1&PARAM=519,Maxime DORIGO,71,840
?refer=joueur&GET_CAT=1&PARAM=744,Thomas DUBIEZ,6,55
?refer=joueur&GET_CAT=1&PARAM=695,Fabien DUBOS,37,190
?refer=joueur&GET_CAT=1&PARAM=607,Hervé DUBUISSON,259,3913
?refer=joueur&GET_CAT=1&PARAM=592,Michel DUFFORT,6,2
?refer=joueur&GET_CAT=1&PARAM=683,Christophe DUMAS,4,0
?refer=joueur&GET_CAT=1&PARAM=401,Jean DUPERRAY,15,170
?refer=joueur&GET_CAT=1&PARAM=373,Joseph DUPLAN,4,2
?refer=joueur&GET_CAT=1&PARAM=560,Michel DUPREZ,3,3
?refer=joueur&GET_CAT=1&PARAM=595,Roger DUQUESNOY,28,56
?refer=joueur&GET_CAT=1&PARAM=561,Alain DURAND,113,709
?refer=joueur&GET_CAT=1&PARAM=652,Robert DURIGO,2,0
?refer=joueur&GET_CAT=1&PARAM=351,Roland ETIENNE,40,153
?refer=joueur&GET_CAT=1&PARAM=424,André EVEN,6,17
?refer=joueur&GET_CAT=1&PARAM=701,Vasco EVTIMOV,32,141
?refer=joueur&GET_CAT=1&PARAM=350,Marcel EXQUIS,3,0
?refer=joueur&GET_CAT=1&PARAM=372,Wladimir FABRIKANT,17,73
?refer=joueur&GET_CAT=1&PARAM=820,Moustapha FALL,30,157
?refer=joueur&GET_CAT=1&PARAM=387,Gaston FALLEUR,4,9
?refer=joueur&GET_CAT=1&PARAM=570,Bernard FATIEN,15,17
?refer=joueur&GET_CAT=1&PARAM=402,Jacques FAUCHERRE,10,39
?refer=joueur&GET_CAT=1&PARAM=702,Frédéric FAUTHOUX,47,203
?refer=joueur&GET_CAT=1&PARAM=414,Jacques FAVORY,15,15
?refer=joueur&GET_CAT=1&PARAM=626,Apollo FAYE,80,933
?refer=joueur&GET_CAT=1&PARAM=738,Cédric FERCHAUD,18,81
?refer=joueur&GET_CAT=1&PARAM=435,Louis FIORIN,1,6
?refer=joueur&GET_CAT=1&PARAM=571,Francis FLAMME,5,4
?refer=joueur&GET_CAT=1&PARAM=340,Jacques FLOURET,25,51
?refer=joueur&GET_CAT=1&PARAM=692,Laurent FOIREST,150,1292
?refer=joueur&GET_CAT=1&PARAM=376,Georges FONTAINE,2,4
?refer=joueur&GET_CAT=1&PARAM=342,Charles FONTEYNE,7,10
?refer=joueur&GET_CAT=1&PARAM=676,Frédéric FORTE,73,320
?refer=joueur&GET_CAT=1&PARAM=780,Evan FOURNIER,95,1088
?refer=joueur&GET_CAT=1&PARAM=873,Sylvain FRANCISCO,5,58
?refer=joueur&GET_CAT=1&PARAM=430,Jacques FREIMULLER,66,120
?refer=joueur&GET_CAT=1&PARAM=383,Emile FREZOT,24,60
?refer=joueur&GET_CAT=1&PARAM=716,David FRIGOUT,5,12
?refer=joueur&GET_CAT=1&PARAM=665,Didier GADOU,70,325
?refer=joueur&GET_CAT=1&PARAM=679,Thierry GADOU,118,667
?refer=joueur&GET_CAT=1&PARAM=566,Jean-Pierre GALAIS,1,0
?refer=joueur&GET_CAT=1&PARAM=577,Pierre GALLE,66,285
?refer=joueur&GET_CAT=1&PARAM=467,Claude GALLEY,24,126
?refer=joueur&GET_CAT=1&PARAM=644,Christian GARNIER,35,58
?refer=joueur&GET_CAT=1&PARAM=580,Claude GASNAL,95,470
?refer=joueur&GET_CAT=1&PARAM=482,Donat GAUBRON,5,2
?refer=joueur&GET_CAT=1&PARAM=710,David GAUTIER,13,40
?refer=joueur&GET_CAT=1&PARAM=731,Mickaël GELABALE,156,1122
?refer=joueur&GET_CAT=1&PARAM=616,Patrick GENART,7,35
?refer=joueur&GET_CAT=1&PARAM=641,Raphaël GHEWY,2,0
?refer=joueur&GET_CAT=1&PARAM=718,Sacha GIFFA,52,148
